"arg_sig","count"
"[I, sC, sI, sN]",1
"[raw_NA, sD, sI, sR]",1
"[M{I}]",684
"[sC, sD, D]",2
"[sC, sD, sI, I]",1
"[M{D}, M{I}, data.frame, l{D}, sS]",1
"[D, M{D}, sD, sF]",1
"[sC, l{C}, data.frame, l{?}]",1
"[l{C}, l{D}, l{l{?}}]",2
"[sD, D, I, sN]",1
"[sF, sI, sN]",5
"[sX, raw_NA]",1
"[language, raw_NA, sF, sN]",1
"[C, D, I, M{C}, M{D}, sD]",1
"[C, D, I, M{C}, M{D}, M{I}, M{L}, data.frame, raw_NA, sC, sD, sI, sS, unevaled]",1
"[C, missing, sC, sN]",1
"[arg17_t]",1
"[D, error, l{?}, missing]",1
"[sC, sD, C]",2
"[D, I, M{D}, data.frame, l{?}, sC, sD, sI, sL]",2
"[D, I, M{D}, M{I}, data.frame, sI]",1
"[M{D}, unevaled]",27
"[D, I, L, M{D}, l{D}, missing, raw_NA, sD, sI, sN, sS, unevaled]",1
"[I, R, sD, sR]",2
"[C, D, I, L, M{C}, M{D}, M{I}, M{L}, data.frame, expression, externalptr, language, l{?}, l{C}, l{D}, l{I}, l{L}, l{Y}, l{externalptr}, l{language}, l{l{?}}, l{sS}, pairlist, sC, sD, sF, sI, sL, sN, sS]",1
"[D, error]",187
"[C, language, sN]",1
"[sD, M{D}, D, I]",3
"[C, I, M{I}, sC]",2
"[l{I}, l{D}]",32
"[error, l{?}, sC]",1
"[C, missing, sC, sL]",1
"[l{I}, l{sN}, I, data.frame, l{?}]",1
"[D, M{D}, data.frame, sD]",2
"[sD, sF, sL, raw_NA, l{?}]",1
"[sC, l{D}]",2
"[C, l{?}, l{C}, l{sF}]",1
"[D, M{D}, M{X}]",2
"[raw_NA, sC, sI, sL, sN]",1
"[I, l{?}, unevaled]",1
"[sS, sC, sD, sE, D, sI, sL, language, error, raw_NA, l{?}]",1
"[l{?}, l{l{?}}, l{sN}]",3
"[D, l{D}, l{language}]",1
"[error, l{D}]",17
"[D, M{D}, data.frame, sC]",1
"[D, l{C}]",4
"[M{X}, sN]",2
"[D, M{C}, M{D}, raw_NA, sD, sF]",1
"[sD, D, sL, sN, L, l{?}]",1
"[C, D, I, error, language, l{?}, l{I}, missing, raw_NA, sC, sD, sI, sL, sN]",1
"[missing, sC, sN]",1
"[sI, I]",244
"[l{R}, l{l{?}}]",1
"[l{?}, missing]",37
"[C, M{D}, D]",1
"[D, M{D}, l{?}, sC, sD]",1
"[l{I}, R, C, D, X, I, L]",1
"[D, I, M{D}, M{I}, data.frame, sN]",1
"[C, language, l{?}, l{I}, l{sS}, raw_NA, sC, sE, sI, sS]",1
"[sS, M{D}, D, data.frame]",2
"[M{D}, l{D}, sN, sS]",1
"[sN, M{C}]",3
"[I, l{?}, l{language}, sC, sI]",1
"[sF, language, sN, error]",1
"[R, M{R}, sR]",1
"[I, L, sL]",2
"[Y, language, sD, sF]",4
"[sC, C, sF]",2
"[C, D, I, L, l{?}, l{language}, sC, sD, sI, sL]",1
"[l{language}, l{C}, data.frame, l{?}]",1
"[I, l{C}, l{I}, l{l{?}}]",1
"[D, I, L, M{D}, sD]",1
"[M{C}, M{R}]",3
"[l{?}, l{L}, l{Y}, l{language}, l{sN}]",1
"[D, I, sD, sI, sN]",12
"[C, I, sC, sD, sI, sN]",3
"[missing, sC, sL]",1
"[D, sC, sD, sF, sL]",1
"[C, D, I, L, l{D}, l{I}, l{sF}, sC, sD, sI]",1
"[sN, l{C}, l{?}]",1
"[error, sC, sI, sN, sX]",1
"[C, data.frame, l{C}]",1
"[language, missing, sF]",1
"[sC, sD, sF, sS]",1
"[D, I, M{D}, l{?}, l{D}, raw_NA, sD, sN]",1
"[C, I, l{l{?}}]",1
"[missing, sC, sI]",3
"[C, M{C}, sC]",9
"[M{I}, missing, sS]",1
"[l{C}, l{sS}]",3
"[l{I}, M{I}]",4
"[sC, C, sI, I, raw_NA, L]",1
"[sN, l{l{?}}]",50
"[D, M{D}, sD, sN]",7
"[M{D}, D, M{I}, I]",9
"[l{sF}, missing, sC]",1
"[C, missing, sC, sF]",2
"[sS, M{D}, C, D, l{sS}, M{I}, I, M{C}, l{l{?}}, sC, l{I}, l{L}, sI, sL, l{D}, l{C}, M{L}, sN, data.frame, l{?}]",1
"[C, data.frame, sN]",1
"[sD, D, data.frame, l{?}]",1
"[C, D, I, l{l{?}}]",1
"[I, M{D}, M{I}, M{L}, data.frame, sD, sS, unevaled]",1
"[D, I, data.frame, l{?}, sD, sL]",1
"[language, l{?}, l{language}, sN]",1
"[D, M{D}, data.frame]",51
"[raw_NA, sC, sD]",9
"[L, sD, sL]",2
"[l{I}, l{D}, l{C}, l{l{?}}]",2
"[sD, data.frame]",14
"[C, sD, sI]",5
"[error, l{?}, sF]",2
"[D, sD, unevaled]",6
"[D, L, M{D}]",2
"[Y, language, l{?}, sD, sF, sN]",1
"[sD, D, l{D}, l{?}]",2
"[sC, sD, sL, l{C}, sN, raw_NA]",1
"[C, M{C}, sC, sD, sI]",2
"[C, D, I, M{I}, data.frame, l{?}, sF]",1
"[M{D}, C, M{I}, I]",1
"[sS, sD, M{D}, D]",1
"[sD, M{D}, D, M{I}, I, sN, data.frame]",1
"[C, sD, sN]",6
"[D, M{D}, M{L}, missing, sD]",1
"[D, l{?}, l{C}, l{l{?}}, sD, sE]",1
"[D, I, L, sD, sN]",1
"[l{D}, l{C}, l{l{?}}]",2
"[l{sF}, l{L}, l{sN}, l{C}, l{?}]",1
"[M{D}, M{I}, I]",2
"[sC, C, sI]",4
"[D, I, M{C}, M{D}, M{I}, sC, sD]",1
"[C, D, I, raw_NA, sD, sI]",1
"[D, I, sD, sS, sX]",1
"[D, missing, sF]",1
"[error, l{D}, sF]",1
"[l{I}, M{D}, D, l{D}, data.frame, l{l{?}}]",1
"[sD, R, D, sI, I, sR]",1
"[C, D, I, sF, sI, sS]",2
"[sC, sD, C, D, I]",3
"[D, missing, sC]",2
"[I, M{D}, M{I}, raw_NA, sD]",1
"[l{D}, l{l{?}}]",36
"[sC, D, data.frame]",1
"[R, error, l{?}, l{l{?}}, sC]",1
"[l{I}, I, data.frame]",1
"[sE, C]",1
"[raw_NA, sC, sD, sI, sN, sR]",23
"[C, language, sC]",3
"[D, M{D}, sD, sN, sS]",1
"[l{?}, l{sN}]",18
"[sC, sD, sF, sN]",1
"[l{language}, l{D}, l{?}]",6
"[missing, sC, sF]",9
"[D, L, sS]",1
"[error, l{?}, l{C}, l{I}, sF, sN]",1
"[language, missing, sC]",2
"[sC, l{I}, sD, M{D}, C, D, sI, I, l{D}]",1
"[sC, sD, sF, D, sI, I, sL]",1
"[D, missing, sD]",50
"[C, I, L, M{I}, data.frame, l{?}, l{I}, l{l{?}}, sC, sD, sI, sL]",1
"[l{?}, l{D}, l{I}, l{sN}]",2
"[l{D}, sC, sD]",1
"[M{D}, data.frame]",286
"[language, l{?}, l{language}]",1
"[C, data.frame, sD]",1
"[D, M{C}, M{D}, data.frame, l{C}, l{D}, l{I}, raw_NA, sS]",1
"[Y, missing, sF]",2
"[l{?}, l{C}, l{L}, sN]",2
"[l{?}, l{language}, l{sF}]",1
"[l{I}, C, M{D}, D, sI, I]",1
"[C, D, I, sC, sI]",2
"[l{I}, M{D}, data.frame, l{l{?}}]",1
"[I, l{D}, l{?}]",1
"[C, D, I, raw_NA, sC, sD, sI]",1
"[sC, sD, sI, Y, language, error]",1
"[D, raw_NA]",60
"[C, D, I, L, M{C}, M{D}, M{I}, R, X, Y, data.frame, expression, externalptr, language, l{?}, l{C}, l{D}, pairlist, raw_NA, sC, sD, sE, sF, sI, sL, sN, sR, sX]",1
"[D, I, l{?}, sC, sN]",1
"[D, M{I}, sN]",2
"[sD, D, I, sL, l{D}]",1
"[C, D, I, L, l{l{?}}, sI]",1
"[Y, language, sD, sN]",1
"[C, D, l{?}]",1
"[D, I, R]",2
"[l{?}, l{C}, l{D}, l{I}, l{L}]",5
"[C, D, I, L, M{L}, Y, data.frame, error, missing, sI, sL]",1
"[l{D}, missing, sF]",3
"[C, D, I, L, data.frame, l{?}, l{C}, l{D}, l{I}, sC, sD, sF, sI, sL, sN]",1
"[missing, sD, sF, sI]",1
"[I, data.frame, l{?}, l{I}, sF]",1
"[l{language}, sF, sN]",1
"[D, I, error, sI]",1
"[sE, l{sE}, l{C}, l{l{?}}, l{?}]",1
"[Y, language, l{?}, l{D}, l{Y}, pairlist, sD, sE, sL, sN]",1
"[sC, C, sF, D, sI, I, error, L]",1
"[C, D, l{l{?}}, sC, sD]",1
"[C, D, L, sN]",1
"[I, M{I}, l{?}]",1
"[M{X}, sC]",1
"[language, raw_NA, sC, sF]",1
"[D, R, sI, sR]",1
"[sD, M{X}, X]",1
"[C, I, Y, data.frame, language, l{?}, l{C}, l{D}, l{I}, l{language}, l{l{?}}, l{sF}, sC, sE, sF, sI]",1
"[sC, sD, C, D, L]",1
"[D, M{D}, M{L}, sD]",2
"[data.frame, l{?}, l{D}, l{sF}, sE, sN]",1
"[l{?}, l{l{?}}, sC]",1
"[C, I, l{C}, missing, sC]",1
"[sC, sE, sN, l{l{?}}]",1
"[D, I, error, sC]",1
"[D, I, missing]",11
"[M{D}, data.frame, error]",2
"[l{I}, l{X}, l{sN}, l{l{?}}, l{?}]",1
"[D, l{D}, raw_NA, sD]",1
"[D, I, M{D}, data.frame, unevaled]",1
"[l{?}, l{C}, l{l{?}}, sC]",7
"[C, D, I, M{I}, data.frame, l{?}, sN]",1
"[D, R, sD, sI, sR]",1
"[sL, sN]",108
"[Y, language, sD, sI]",2
"[l{?}, l{l{?}}, sD]",1
"[M{D}, M{C}]",17
"[sC, sD, D, sI]",3
"[M{X}, l{D}, l{?}]",1
"[C, D, I, L, raw_NA, sC, sD, sI]",3
"[l{D}, missing, sE]",1
"[M{I}, sD]",4
"[D, I, error, sD]",2
"[C, I, L, missing, sD, sI]",1
"[D, data.frame, l{?}]",1
"[D, missing, sN]",4
"[I, sD, sI, sS]",1
"[l{I}, M{D}, D, M{I}, I, sN]",1
"[l{D}, raw_NA]",2
"[C, D, I, sC, sN]",1
"[l{I}, l{l{?}}, l{?}]",5
"[sL, l{?}]",3
"[C, D, I, raw_NA, sC, sD, sN]",2
"[M{I}, l{C}, sC]",1
"[l{l{?}}, missing, sD]",1
"[sC, sD, D, sL]",1
"[C, D, I, R]",1
"[C, D, data.frame, l{l{?}}]",1
"[sD, sL, l{?}]",2
"[D, sC, sD, sI]",3
"[sC, sD, C, sL, sN]",1
"[l{I}, M{I}, I]",2
"[C, l{?}, l{l{?}}, sF, sN]",1
"[D, M{D}, data.frame, sS]",1
"[l{?}, l{l{?}}, sF]",4
"[D, raw_NA, sC, sD]",2
"[D, M{D}, sF]",8
"[C, l{?}, l{l{?}}]",3
"[C, D, sN, L]",1
"[C, data.frame, sC]",2
"[I, L, missing]",4
"[C, l{?}, l{C}, l{D}, l{l{?}}, l{sN}, sC, sD, sI, sL, sN]",3
"[sC, l{C}, l{l{?}}]",1
"[D, I, error, sF]",1
"[I, l{C}]",1
"[data.frame, l{?}, l{l{?}}, sE]",1
"[error, expression, sD]",1
"[C, I, missing, sI]",1
"[C, sI, l{sN}, sN, error, data.frame]",1
"[l{I}, M{I}, sI, I, data.frame, l{?}]",1
"[language, raw_NA]",3
"[Y, language, raw_NA, sC, sD, sI, sL]",1
"[C, sC, sD, sN]",1
"[D, l{D}, l{l{?}}, sD]",1
"[C, D, I, language, L, sC, l{I}, sD, l{language}, sL, l{D}, sN, l{C}, l{?}]",1
"[l{?}, l{C}, l{sN}, sC]",1
"[Y, language, l{?}]",2
"[C, I, sC, sE, sF, sI, sN]",1
"[M{D}, M{I}, data.frame, error]",1
"[l{?}, l{C}, l{l{?}}, sN]",3
"[M{D}, sF]",60
"[sS, C, M{D}, D, M{I}, I, language, M{C}, error, L, l{l{?}}, sC, sD, sF, sI, sL, l{D}, sN, l{C}, M{L}, data.frame, pairlist, l{?}]",1
"[data.frame, l{?}, l{C}]",1
"[D, M{D}, R, sD, sR]",2
"[data.frame, l{?}, l{C}, l{D}, l{I}, l{L}, l{l{?}}]",2
"[L, l{?}]",3
"[Y, language, sC, sD, sI, sL, sN]",2
"[l{I}, M{I}, M{C}]",2
"[sC, sD, l{L}, sF, C, sI, sL, I, sN, l{?}]",1
"[l{I}, I, l{?}]",1
"[D, I, l{?}, raw_NA, sC, sD, sI, sN]",1
"[C, sC, sD, sF, sI]",1
"[sC, sD, C, D, l{sN}]",1
"[I, R, sC, sD, sI, sR]",2
"[l{I}, C, D, l{l{?}}]",1
"[M{D}, sC]",5
"[sC, l{L}, sN, l{C}, l{?}]",1
"[I, l{I}, sD, sE, sF, sL, sN]",1
"[D, sC, sD, sN]",7
"[C, sI, I]",2
"[D, M{D}, sS]",7
"[D, M{D}, l{?}, l{D}, sL]",1
"[C, D, I, sC, sS]",1
"[C, I, M{I}]",1
"[l{language}]",159
"[sD, M{D}, M{I}, sI, I, sN, data.frame]",1
"[l{?}, l{C}, l{sF}]",2
"[M{D}, sD]",270
"[C, D, I, L, M{D}, data.frame, l{D}, raw_NA, sC, sD, sN]",1
"[sS, sE, sN]",1
"[sD, D, l{D}, sN, pairlist, l{?}]",1
"[sC, sD, sF, sL, I, sN, error, data.frame, l{l{?}}, l{?}]",1
"[l{l{?}}, l{?}, l{externalptr}]",3
"[D, M{D}, data.frame, sN]",1
"[sC, sD, l{l{?}}, l{?}]",1
"[C, I, missing, sD]",1
"[Y, sD]",1
"[C, l{?}, raw_NA, sC, sD, sL, sN]",1
"[D, I, L, missing, sD, sI]",2
"[M{D}, M{I}, l{?}]",2
"[C, error, sN]",7
"[C, D, I, L]",9
"[C, sC, sD, sI]",1
"[sD, D, I, data.frame]",1
"[C, D, M{I}, I, error, sC, sD, l{I}, sE, sI, l{C}, data.frame, pairlist, l{?}]",1
"[l{?}, l{l{?}}, raw_NA]",1
"[pairlist]",161
"[M{D}, error, missing]",6
"[C, sC, sD, sF, sL]",1
"[D, I, L, R, sD, sI, sL, sR]",1
"[Y, sC]",21
"[l{D}, missing, sN]",1
"[sC, sD, sL, sN, l{C}]",1
"[l{sF}, I, l{?}]",1
"[l{language}, l{C}, l{l{?}}]",1
"[sD, I, raw_NA]",1
"[l{?}, l{D}, l{I}]",37
"[l{l{?}}, sC, sE, sN]",1
"[M{I}, l{D}]",1
"[C, M{D}, D, l{C}, M{C}, l{l{?}}, l{?}]",1
"[D, I, M{D}, missing]",2
"[Y, sF]",2
"[C, D, I, L, error, l{?}, l{D}, l{I}, l{Y}, l{language}, l{sN}, missing, sC, sD, sI, sN]",1
"[C, sC, sD, sF, sN]",1
"[D, L, error, sF]",1
"[externalptr, l{sN}, l{externalptr}]",1
"[M{D}, M{I}, R, sR]",1
"[l{?}, l{D}, l{language}]",2
"[sS, M{D}, D, l{sS}, data.frame]",1
"[M{D}, error, sN, sS]",1
"[D, language, missing, sN]",2
"[sD, M{I}]",1
"[D, sC, sD]",23
"[D, M{D}, sN]",45
"[C, D, I, data.frame, sI, sS]",1
"[l{I}, l{sN}]",5
"[sC, l{C}, l{l{?}}, l{?}]",4
"[D, l{D}]",58
"[raw_NA, sD, sX]",1
"[data.frame, unevaled]",64
"[sC, D, I]",1
"[sC, C, sN, data.frame, l{l{?}}]",1
"[M{D}, sD, sF, sS, sX]",1
"[sC, sD, C, D, sI, I, sL, L]",6
"[l{?}, sD, sI, sN]",2
"[sS, l{Y}, C, D, I, language, error, sD, sF, sI, sL, l{D}, data.frame, l{?}]",1
"[sC, C, sL, sN]",1
"[M{D}, C, I]",1
"[sF, sS, unevaled]",1
"[l{expression}, sC]",1
"[D, I, data.frame, l{?}, l{D}, l{I}, l{l{?}}, sD, sN]",1
"[missing, unevaled]",2
"[I, M{D}, M{I}, sN]",2
"[D, M{X}]",1
"[I, L, l{C}]",1
"[Y, sC, sF]",2
"[C, D, sC, sI]",1
"[D, L, M{C}, M{D}, M{I}, M{L}, M{R}, data.frame, raw_NA, sS, unevaled]",1
"[l{?}, l{I}, l{l{?}}, sI]",7
"[C, data.frame]",19
"[l{sF}, l{I}, l{Y}, l{L}, l{language}, l{sN}, l{D}, l{C}, l{l{?}}, l{?}]",1
"[M{D}, sN]",387
"[sI, I, sL, L]",1
"[C, D, I, sC]",15
"[C, I, data.frame, l{?}, sD]",1
"[sD, sF, l{?}]",2
"[M{D}, M{C}, raw_NA]",1
"[l{?}, l{l{?}}, raw_NA, sC, sD, sN]",2
"[C, l{?}, l{C}, l{sN}, sC, sF, sN]",1
"[D, error, l{D}]",1
"[l{I}, l{Y}, l{language}, l{L}, l{sE}, l{sN}, l{D}, l{C}, l{l{?}}, l{?}]",1
"[D, I, R, raw_NA, sC, sD, sI, sN, sR]",1
"[M{D}, M{I}, M{X}]",4
"[error, sS]",26
"[data.frame, l{?}, l{C}, l{D}, l{I}, l{L}]",1
"[M{I}, sN]",15
"[sD, R, C, D, X, I, L]",1
"[D, l{C}, l{?}]",1
"[Y, l{Y}]",1
"[Y, sC, sD]",1
"[C, D, I, sD]",10
"[error, l{l{?}}, sN]",1
"[l{D}, raw_NA, sD]",3
"[data.frame, sF, unevaled]",36
"[M{D}, sL]",6
"[l{language}, sN, l{?}]",1
"[sF, sN, unevaled]",2
"[D, X, l{?}, l{l{?}}, sD]",2
"[C, D, I, sI]",2
"[M{D}, sI]",2
"[l{C}, missing]",6
"[D, I, M{D}, M{I}, sD, sS]",1
"[sC, C, l{l{?}}]",2
"[sC, sD, raw_NA]",3
"[l{?}, l{l{?}}, sS]",18
"[l{?}, l{C}, l{D}, l{I}, l{X}, l{l{?}}, l{sN}]",1
"[l{L}, l{C}, l{?}]",1
"[arg7_t]",1
"[data.frame]",6938
"[M{I}, sS]",4
"[D, I, M{D}, M{I}, data.frame, l{I}]",2
"[D, M{D}, sC, sD]",1
"[L, error, sN]",1
"[I, l{?}, sD, sN]",1
"[D, sC, sN]",7
"[error, l{?}, l{D}]",4
"[D, I, L, data.frame]",1
"[sC, sD, sI, sL, sN]",1
"[C, D, I, M{D}, M{I}, data.frame, missing, sC, sD, sL]",1
"[Y, sN]",2
"[C, D, sC, sD]",9
"[sD, M{D}, sX]",1
"[D, M{D}, language, sD]",1
"[M{D}, l{?}, l{D}, missing]",1
"[sS, M{D}, M{I}, M{L}, M{C}, data.frame]",1
"[l{?}, sD, sI]",4
"[sF, I, l{?}]",1
"[Y, error, language, l{C}, sC, sD, sE, sN]",1
"[M{D}, M{L}]",19
"[I, M{I}]",26
"[C, D, I, M{C}, M{D}, data.frame, l{?}, l{C}, l{I}, sC, sD, sI, sN, sS]",1
"[l{?}, l{C}, l{D}, l{I}, l{L}, l{l{?}}, l{sF}, l{sN}, sC]",1
"[l{sF}, l{I}, sF, D, sN, M{C}, error, data.frame, l{?}]",1
"[l{sF}, sC, sD, sI, sN, l{?}]",1
"[M{D}, sF, sN]",6
"[D, l{D}, l{l{?}}]",1
"[D, M{D}, data.frame, l{D}]",1
"[l{D}, error, data.frame, l{?}]",1
"[sC, l{C}]",5
"[R, l{R}, sR]",1
"[sS, l{D}, l{?}]",1
"[D, M{D}, missing, sD]",7
"[Y, sC, sD, sL, sN]",1
"[l{sS}]",138
"[M{D}, D, l{?}]",5
"[l{?}, pairlist]",1
"[error, sN]",49
"[, l{?}]",1
"[promise]",1
"[I, missing, sC, sD]",1
"[I, sD, sI, sN]",8
"[sN, l{externalptr}]",1
"[D, missing]",178
"[I, M{I}, sD, sI]",1
"[I, language, data.frame, l{l{?}}, l{?}]",2
"[l{I}, l{L}, l{D}, l{C}, l{?}]",5
"[l{sS}, l{l{?}}]",1
