"arg_sig","count"
"[C, I, L, language, l{?}]",1
"[sF, C]",3
"[sS, D, L]",1
"[I, L, sN]",1
"[C, expression, sN]",2
"[sF, C, D, I, language, sN, error, L, pairlist, l{?}]",1
"[C, I, R]",1
"[C, language]",36
"[D, l{?}]",2391
"[C, I, L, l{?}]",3
"[l{?}, sE, sN]",4
"[sE, C]",2
"[arg13_t]",1
"[C, D, I, l{?}, sF, sN]",5
"[I, error, missing]",4
"[sF, D]",4
"[C, D, I, L, l{?}]",44
"[C, D, I, sN, M{C}, L, l{?}]",3
"[C, M{C}]",57
"[L, language, sF, sN]",1
"[I, l{?}, sF, sS]",2
"[error, sF, sS]",2
"[D, I, L, M{C}, l{?}, sN]",1
"[sS, sF, C, D, I, language, L, error, l{?}]",1
"[D, language, sF]",1
"[D, L, sS]",4
"[sS, sE]",1
"[C, sN]",1508
"[I, l{?}]",262
"[C, D, error, l{?}, sF]",1
"[sS, C, I]",3
"[D, L, M{C}, l{?}, sF]",1
"[C, D, I, L, language, l{?}, sF, sN]",2
"[C, D, I, L, M{C}, l{?}, sN]",1
"[C, D, I, sN, M{C}, l{?}]",2
"[C, D, L, language, l{?}, sE, sF, sN]",1
"[I, L, error, missing]",1
"[C, I, sN, l{?}]",2
"[C, sN, sS]",2
"[sS, sE, sF, C, D, M{X}, I, sN, error, L, ..., l{?}]",1
"[arg3_t]",1
"[sE, sF, C, D, I, sN, L, l{?}]",1
"[sE, C, D, sN, l{?}]",1
"[sS, sN]",7
"[C, l{?}, unevaled]",1
"[sF, D, I, error, L]",1
"[C, I, error, l{?}, missing, sN]",2
"[C, D, Y, error, language, l{?}, sE, sN]",1
"[Y, l{?}]",3
"[Y, missing, sF]",2
"[L, error, missing]",4
"[D, Y, language, l{?}, sF, sN]",1
"[sF, C, D, L, l{?}]",1
"[..., C, L, Y, language, sF, sN, sS]",1
"[R, C, I]",1
"[sF, C, sN]",1
"[C, I, L, Y, error, l{?}, sE, sF, sN]",1
"[D, error, language, sE]",1
"[D, I, L, sN, sS]",1
"[C, I, sN]",34
"[C, l{?}, sS]",1
"[Y, language, pairlist, sN]",1
"[sF, C, D, I, language, sN, error, pairlist, l{?}]",1
"[D, sN, L, l{?}]",2
"[C, D, l{?}]",48
"[C, pairlist]",3
"[D, I, R]",15
"[D, I, L, sF, sN]",1
"[D, I, L, error, missing]",1
"[I, language, l{?}]",6
"[C, l{?}, sE, sN]",1
"[L, language, sF]",6
"[D, I, error, l{?}]",6
"[C, I, error, missing]",1
"[C, L, l{?}]",9
"[C, D, I, Y, language, l{?}, pairlist, sF]",1
"[C, D, L, sN]",6
"[sE, sN, l{?}]",2
"[D, M{X}, X]",3
"[C, D, I, error, sF]",1
"[C, D, I, M{C}, l{?}, sN]",4
"[externalptr, sF]",28
"[D, error, missing, sN]",1
"[M{C}, sF, sN]",5
"[L, unevaled]",11
"[sN, L, l{?}]",2
"[R, error]",4
"[D, I, error, l{?}, unevaled]",1
"[D, I, L, l{?}, missing, sN, unevaled]",1
"[C, D, I, error, l{?}, sN]",1
"[C, sF, D, I, l{?}]",2
"[C, sF, D, error, l{?}]",1
"[sS, sF, D, I, l{?}]",1
"[D, I, l{?}, sE]",1
"[C, Y, language, pairlist]",1
"[error, l{?}, missing]",9
"[C, sF, L, l{?}]",1
"[missing, sN]",42
"[D, I, X]",1
"[D, I, missing]",43
"[D, L, sN]",23
"[M{X}, l{?}, sN]",1
"[D, sN, unevaled]",3
"[Y, language, sF, unevaled]",3
"[D, sE]",5
"[C, D, I, Y, language, error]",1
"[C, D, I, L, sF, sN]",2
"[C, D, I, sN, error, M{C}, L]",1
"[D, language]",8
"[C, D, I, L, M{C}, l{?}, sS]",4
"[C, D, sN, l{?}]",8
"[D, I, l{?}, sF]",1
"[D, I, sF, sN]",7
"[D, I, L, M{C}, M{R}, l{?}, sS, unevaled]",1
"[C, D, I, L, l{?}, sF]",1
"[L, error]",132
"[M{C}, M{R}, l{?}]",4
"[C, sF, D, sN, error, pairlist]",1
"[sN, L]",16
"[D, sF]",325
"[sF, C, error, l{?}]",2
"[D, missing, sN]",10
"[error, expression]",1
"[language, error]",3
"[language, pairlist, sN]",1
"[C, D, I, L, M{C}, R, X, Y, expression, externalptr, language, l{?}, pairlist, sE, sF, sN]",1
"[L, M{C}]",1
"[sF, unevaled]",1374
"[C, I, missing]",12
"[C, D, I, L, X, l{?}]",4
"[ret_t]",1
"[sF, error]",2
"[C, D, I, R]",3
"[C, I, M{C}, l{?}, sN]",1
"[l{?}, sN, unevaled]",4
"[C, D, L, l{?}, sN]",7
"[C, D, Y, language, l{?}, sF, sN]",1
"[sE, sS]",8
"[D, L, error, sN]",1
"[sS, I, sN, l{?}]",1
"[C, I, M{C}]",4
"[C, D, I, X, l{?}]",1
"[sE, C, sN, l{?}]",2
"[sN, M{C}, l{?}]",1
"[D, sE, sF, sN]",1
"[sS, C, D, I, language, sN, L, l{?}]",1
"[C, D, M{C}]",1
"[C, sF, D, I, L]",2
"[C, L, M{C}]",2
"[L, sN]",126
"[C, missing, sN]",4
"[D, M{C}]",3
"[C, I, Y, language, l{?}, sE, sF]",1
"[C, D, expression, l{?}]",1
"[C, D, sN, L]",6
"[sE, I, language, l{?}]",1
"[I, L, missing]",5
"[C, D, sE, sN]",2
"[C, M{C}, l{?}]",11
"[sS, sE, C, D, I, l{?}]",1
"[D, I, error, sF]",1
"[arg10_t]",1
"[C, D, M{C}, sF]",1
"[sE, C, sF, D, I, sN, error, L, l{?}]",1
"[D, I, L, l{?}, sS]",2
"[sN, pairlist]",2
"[I, error]",107
"[C, D, I, L, R, X]",5
"[sS, D, I, l{?}]",2
"[C, D, language]",1
"[l{?}, sS]",165
"[I, l{?}, sF]",4
"[C, D, I, L, l{?}, missing]",2
"[C, externalptr]",13
"[D, Y, language, pairlist, sN]",1
"[C, R]",27
"[C, D, L, Y, expression, language, pairlist, sF, sN]",1
"[C, D, I, L, M{C}, l{?}, sE, sF]",2
"[Y, language, l{?}]",2
"[C, language, l{?}]",6
"[arg19_t]",1
"[C, D, I, R, language, l{?}]",1
"[sF, C, D, I, language, sN, error, L, l{?}]",1
"[L, language, l{?}]",1
"[I, M{C}, l{?}, sF, unevaled]",1
"[bytecode, sF]",1
"[C, D, I, language, l{?}]",1
"[L, l{?}]",108
"[C, D, I, L, l{?}, sS]",5
"[sE, C, D, I, sN]",1
"[C, D, l{?}, pairlist]",1
"[C, D, I, L, M{C}, language, l{?}, pairlist, sF, sS]",1
"[language, l{?}, sN]",8
"[C, I, language, l{?}]",1
"[C, D, I, L, R, l{?}, sN]",1
"[D, I, error, missing]",3
"[, missing]",1
"[C, D, I, L, M{C}, l{?}, sF, sN]",1
"[D, I, X, sS]",4
"[D, I, L, language, l{?}]",1
"[D, X]",36
"[M{C}, error]",1
"[D, I, unevaled]",4
"[C, D, L, R]",2
"[sS, language, l{?}]",1
"[D, I, L, l{?}, sN]",1
"[sS, sE, sN]",1
"[sE, C, sF, D, I, sN, L, l{?}]",2
"[D, M{R}, R, l{?}]",2
"[M{R}, R, l{?}]",1
"[D, Y, language]",15
"[C, D, I, error, l{?}, sF]",1
"[missing]",2612
"[D, L, sF]",4
"[D, Y]",1
"[C, sE, sF]",1
"[Y, language, l{?}, pairlist]",1
"[language, l{?}, missing]",1
"[D, I, M{C}]",1
"[, error]",1
"[M{C}, unevaled]",1
"[I, externalptr, l{?}]",1
"[missing, sF]",48
"[sS, C, D, I, l{?}]",1
"[I, M{C}, l{?}]",15
"[D, Y, sN]",1
"[D, I, M{C}, L, l{?}]",1
"[D, I, l{?}]",276
"[C, error, sN]",14
"[C, l{?}, sN]",39
"[l{?}, sN, sS]",5
"[C, D, I, L]",96
"[pairlist]",163
"[C, D, I, error, l{?}, missing, sF, sN]",1
"[l{?}, sF, sN]",24
"[D, I, l{?}, sN]",18
"[C, D, I, L, l{?}, sN]",15
"[sS, sN, l{?}]",1
"[C, I, sF, sN]",1
"[language, l{?}, sS]",1
"[C, I, sS]",10
"[M{C}, l{?}, sS]",2
"[D, sN]",2055
"[Y, sF]",3
"[C, D, I, L, Y, language, pairlist, sF, sN]",1
"[C, I, l{?}, sN]",1
"[sS, C, D, I, sN, L]",1
"[C, I, l{?}]",47
"[I, sF, sS]",1
"[, sN]",1
"[D, missing, sS]",1
"[D, L, error, sF]",1
"[arg5_t]",1
"[error, missing]",81
"[C, D, I, M{C}, l{?}, sN, sS]",2
"[D, L, l{?}, sF, unevaled]",1
"[C, D, I, L, unevaled]",1
"[D, error, L]",1
"[missing, sE]",3
"[D, l{?}, missing, sN, sS]",1
"[D, L, error, language, sF, sN]",1
"[C, I, L, language, l{?}, sE, sS]",1
"[C, D, I, L, M{C}, l{?}, sF, sS]",2
"[C, D, L, missing]",1
"[C, Y]",22
"[C, D, L, error, l{?}, sF, sN]",1
